antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
Triamcinolone,Clobetasol,0.41781931986475535,0.33193617794171065,0.16853885489144102,0.4033773616452098,1.2152256621935453,0.029849506785329077,1.119742663303057
Clobetasol,Triamcinolone,0.33193617794171065,0.41781931986475535,0.16853885489144102,0.5077447596599041,1.2152256621935453,0.029849506785329077,1.1826805129245956
Triamcinolone,Fluticasone,0.41781931986475535,0.3315589459859726,0.15403638192639785,0.36866744691523157,1.1119212778859207,0.015504648619463629,1.058778057218723
Fluticasone,Triamcinolone,0.3315589459859726,0.41781931986475535,0.15403638192639785,0.464582192069445,1.1119212778859207,0.015504648619463629,1.0873390304021322
Methotrexate,Adalimumab,0.553036018665996,0.22734512532483864,0.13678151283985804,0.24732839855493516,1.0878984020508191,0.011051469867087355,1.0265497903623975
Adalimumab,Methotrexate,0.22734512532483864,0.553036018665996,0.13678151283985804,0.601647000983284,1.0878984020508191,0.011051469867087355,1.122029914265182
Clobetasol,Fluticasone,0.33193617794171065,0.3315589459859726,0.1182412607930254,0.3562168532704773,1.0743696033029009,0.00818485150005957,1.0383015731458165
Fluticasone,Clobetasol,0.3315589459859726,0.33193617794171065,0.1182412607930254,0.3566221398171168,1.0743696033029009,0.00818485150005957,1.0383693058203602
Ketoconazole,Triamcinolone,0.17435102132059127,0.41781931986475535,0.09651549445329309,0.5535699975959613,1.3249028258797302,0.023668269307398182,1.3040805434226745
Triamcinolone,Ketoconazole,0.41781931986475535,0.17435102132059127,0.09651549445329309,0.23099816084266844,1.3249028258797302,0.023668269307398182,1.0736632042182772
Triamcinolone,"Methotrexate, Clobetasol",0.41781931986475535,0.1815184284796155,0.09359543968480175,0.22400936298277882,1.2340860642033107,0.01775353335452956,1.0547570195775704
Methotrexate,"Triamcinolone, Clobetasol",0.553036018665996,0.16853885489144102,0.09359543968480175,0.16923931991006239,1.0041561040572664,0.00038738238511316914,1.000843161015451
Clobetasol,"Triamcinolone, Methotrexate",0.33193617794171065,0.22460670075725822,0.09359543968480175,0.28196817913965827,1.255386318346722,0.019040349895339925,1.079887097919518
"Triamcinolone, Clobetasol",Methotrexate,0.16853885489144102,0.553036018665996,0.09359543968480175,0.5553344939069883,1.0041561040572664,0.00038738238511316914,1.0051689982908445
"Methotrexate, Clobetasol",Triamcinolone,0.1815184284796155,0.41781931986475535,0.09359543968480175,0.515625,1.2340860642033105,0.01775353335452956,1.2019214041501827
"Triamcinolone, Methotrexate",Clobetasol,0.22460670075725822,0.33193617794171065,0.09359543968480175,0.41670813635232645,1.2553863183467218,0.019040349895339925,1.1453336891766084
Triamcinolone,Betamethasone,0.41781931986475535,0.16793807807304328,0.0907312711319753,0.21715432201972915,1.2930618506023372,0.02056349757210217,1.0628683855976098
Betamethasone,Triamcinolone,0.16793807807304328,0.41781931986475535,0.0907312711319753,0.5402662229617304,1.2930618506023372,0.02056349757210217,1.2663430646445244
Methotrexate,Etanercept,0.553036018665996,0.155894598597256,0.09061949870064549,0.16385822196397443,1.0510833822234724,0.004404170560885462,1.0095242500445605
Etanercept,Methotrexate,0.155894598597256,0.553036018665996,0.09061949870064549,0.5812869689908586,1.0510833822234726,0.004404170560885462,1.0674709126123323
Hydrocortisone,Triamcinolone,0.15702629446447033,0.41781931986475535,0.08735015508424847,0.5562772488655574,1.331382304307086,0.02174153553022068,1.3120370290836203
Triamcinolone,Hydrocortisone,0.41781931986475535,0.15702629446447033,0.08735015508424847,0.20906202976090954,1.331382304307086,0.02174153553022068,1.0657899067365668
"Methotrexate, Triamcinolone",Fluticasone,0.22460670075725822,0.3315589459859726,0.08579931259954732,0.3819980094550883,1.1521269870101762,0.01132895163508403,1.0816163446733271
"Methotrexate, Fluticasone",Triamcinolone,0.18160225780311287,0.41781931986475535,0.08579931259954732,0.4724573011232497,1.1307693987826608,0.009922380758346741,1.103570727781524
"Triamcinolone, Fluticasone",Methotrexate,0.15403638192639785,0.553036018665996,0.08579931259954732,0.5570068027210884,1.0071799736745366,0.0006116452092574665,1.0089635328024964
Methotrexate,"Triamcinolone, Fluticasone",0.553036018665996,0.15403638192639785,0.08579931259954732,0.15514235909355026,1.0071799736745366,0.0006116452092574665,1.0013090692604327
Triamcinolone,"Methotrexate, Fluticasone",0.41781931986475535,0.18160225780311287,0.08579931259954732,0.20535027587359972,1.1307693987826608,0.009922380758346741,1.0298848880827263
Fluticasone,"Methotrexate, Triamcinolone",0.3315589459859726,0.22460670075725822,0.08579931259954732,0.25877544140575615,1.152126987010176,0.01132895163508403,1.0460976909795057
Adalimumab,Clobetasol,0.22734512532483864,0.33193617794171065,0.08285131472322352,0.36442969518190754,1.097890857940477,0.007387242749217371,1.0511249770385305
Clobetasol,Adalimumab,0.33193617794171065,0.22734512532483864,0.08285131472322352,0.24960013469147238,1.0978908579404771,0.007387242749217371,1.0296575337969758
Betamethasone,Clobetasol,0.16793807807304328,0.33193617794171065,0.08110487048369519,0.48294509151414305,1.4549335794272782,0.025360146717252598,1.2920558553725885
Clobetasol,Betamethasone,0.33193617794171065,0.16793807807304328,0.08110487048369519,0.24433874905295058,1.4549335794272782,0.025360146717252598,1.101104391530142
Ketoconazole,Clobetasol,0.17435102132059127,0.33193617794171065,0.07948417022941291,0.4558858882923311,1.373414284394112,0.02161075859202214,1.227800947785772
Clobetasol,Ketoconazole,0.33193617794171065,0.17435102132059127,0.07948417022941291,0.2394561831804024,1.373414284394112,0.02161075859202214,1.0856034332539373
Triamcinolone,Fluocinonide,0.41781931986475535,0.12346662195769413,0.07050046106127923,0.16873432536365157,1.3666391992280182,0.0189137210489166,1.0544563606884894
Fluocinonide,Triamcinolone,0.12346662195769413,0.41781931986475535,0.07050046106127923,0.5710082607219644,1.3666391992280182,0.0189137210489166,1.357090654274639
Ketoconazole,Fluticasone,0.17435102132059127,0.3315589459859726,0.06981585491938413,0.40043272698132865,1.2077271080427128,0.012008214058751063,1.1148724823631446
Fluticasone,Ketoconazole,0.3315589459859726,0.17435102132059127,0.06981585491938413,0.21056845476381103,1.2077271080427125,0.012008214058751063,1.0458778644732065
Clobetasol,Hydrocortisone,0.33193617794171065,0.15702629446447033,0.06697962947439014,0.20178466200858658,1.2850374053387825,0.014856921453504257,1.0560730487298626
Hydrocortisone,Clobetasol,0.15702629446447033,0.33193617794171065,0.06697962947439014,0.4265504048402883,1.2850374053387825,0.014856921453504257,1.164991357038497
Triamcinolone,"Clobetasol, Fluticasone",0.41781931986475535,0.1182412607930254,0.06683991393522788,0.15997324862063203,1.3529393001031689,0.017436430770734847,1.0496793557575166
Fluticasone,"Triamcinolone, Clobetasol",0.3315589459859726,0.16853885489144102,0.06683991393522788,0.20159285322995238,1.1961209381646865,0.010959348849738919,1.0413999279343016
Clobetasol,"Triamcinolone, Fluticasone",0.33193617794171065,0.15403638192639785,0.06683991393522788,0.20136375115750488,1.307247993228776,0.015709666054609786,1.0592602318010245
"Clobetasol, Fluticasone",Triamcinolone,0.1182412607930254,0.41781931986475535,0.06683991393522788,0.5652841781874041,1.3529393001031687,0.017436430770734847,1.339221281865881
"Triamcinolone, Clobetasol",Fluticasone,0.16853885489144102,0.3315589459859726,0.06683991393522788,0.39658459752963615,1.1961209381646865,0.010959348849738919,1.107762664455449
"Triamcinolone, Fluticasone",Clobetasol,0.15403638192639785,0.33193617794171065,0.06683991393522788,0.43392290249433113,1.307247993228776,0.015709666054609786,1.1801640182971704
"Methotrexate, Clobetasol",Fluticasone,0.1815184284796155,0.3315589459859726,0.0666443121804007,0.3671490147783251,1.1073416031243455,0.006460253356669249,1.0562376762041163
"Methotrexate, Fluticasone",Clobetasol,0.18160225780311287,0.33193617794171065,0.0666443121804007,0.3669795353131251,1.1055725759955222,0.006363952819650222,1.0553589644037
"Clobetasol, Fluticasone",Methotrexate,0.1182412607930254,0.553036018665996,0.0666443121804007,0.5636299184686282,1.0191558948152892,0.001252636069378199,1.024277328467283
Methotrexate,"Clobetasol, Fluticasone",0.553036018665996,0.1182412607930254,0.0666443121804007,0.12050627794760377,1.0191558948152892,0.001252636069378199,1.0025753647783782
Clobetasol,"Methotrexate, Fluticasone",0.33193617794171065,0.18160225780311287,0.0666443121804007,0.20077447596599043,1.1055725759955224,0.006363952819650222,1.0239884958454626
Fluticasone,"Methotrexate, Clobetasol",0.3315589459859726,0.1815184284796155,0.0666443121804007,0.20100290758922928,1.1073416031243455,0.006460253356669249,1.0243861702310133
Hydrocortisone,Fluticasone,0.15702629446447033,0.3315589459859726,0.06365439964232822,0.40537414360708246,1.222630692112988,0.011590926957605475,1.1241372147334512
Fluticasone,Hydrocortisone,0.3315589459859726,0.15702629446447033,0.06365439964232822,0.19198516708103325,1.2226306921129881,0.011590926957605475,1.0432651372132284
Betamethasone,Fluticasone,0.16793807807304328,0.3315589459859726,0.06309553748567916,0.3757071547420965,1.1331534235182172,0.007414165328870952,1.0707171467548786
Fluticasone,Betamethasone,0.3315589459859726,0.16793807807304328,0.06309553748567916,0.19029960810753865,1.1331534235182172,0.007414165328870952,1.0276170423756759
Clobetasol,Fluocinonide,0.33193617794171065,0.12346662195769413,0.060357112918098754,0.18183348766731208,1.472733964727871,0.019374074322087674,1.0713386148538484
